ITER	RESIDUUM	ALFA	BETA
457	0.00243071	0.142875	1.28629
458	0.00310076	0.0262511	1.62731
459	0.00185295	0.0715625	0.3571
460	0.00152442	0.147	0.676836
461	0.00180666	0.214817	1.40457
462	0.001753	0.175198	0.941475
463	0.00371676	0.0781464	4.49537
464	0.00161971	0.0227845	0.18991
465	0.00184008	0.206432	1.29062
466	0.00135867	0.138903	0.545195
467	0.00147928	0.183701	1.18542
468	0.00244913	0.158091	2.7411
469	0.0013841	0.0136018	0.319381
470	0.00160579	0.156459	1.346
471	0.0013575	0.210841	0.714667
472	0.00132127	0.153556	0.947333
473	0.00149332	0.187265	1.27739
474	0.00159818	0.0210571	1.14537
475	0.00117278	0.0757363	0.538491
476	0.00119656	0.244592	1.04096
477	0.00128899	0.175437	1.16047
478	0.00119815	0.171097	0.864025
479	0.00225137	0.0628794	3.53075
480	0.000955398	0.0229445	0.180084
481	0.00105703	0.220596	1.22408
482	0.00104518	0.159138	0.977691
483	0.00114619	0.235172	1.20262
484	0.00208625	0.132281	3.31301
485	0.00105182	0.0140643	0.254186
486	0.000977981	0.128694	0.864522
487	0.00095579	0.216908	0.955133
488	0.00106148	0.160455	1.23339
489	0.00150656	0.219291	2.01441
490	0.00126341	0.0165476	0.703264
491	0.00088351	0.10017	0.489026
492	0.000937094	0.18365	1.12498
493	0.000864248	0.180757	0.850571
494	0.00127197	0.227089	2.1661
495	0.00131692	0.0205369	1.07192
496	0.000935173	0.0770014	0.504273
497	0.000661848	0.132573	0.500878
498	0.000806756	0.274652	1.48583
499	0.000837688	0.139782	1.07815
500	0.001076	0.0253648	1.64991
501	0.000539751	0.119783	0.251629
502	0.000539811	0.372249	1.00022
503	0.000695488	0.162813	1.65995
504	0.00127455	0.130532	3.3584
505	0.000503758	0.0131867	0.156219
506	0.000480943	0.27036	0.911472
507	0.000437163	0.289846	0.826226
508	0.000629535	0.195145	2.07374
509	0.000963202	0.0375394	2.34096
510	0.000435374	0.037094	0.204311
511	0.000449664	0.204384	1.06672
512	0.000481362	0.215806	1.14596
513	0.000557296	0.155994	1.34038
514	0.000624763	0.0220077	1.25678
515	0.00052824	0.0953145	0.714879
516	0.000418102	0.171126	0.626473
517	0.000576609	0.260886	1.90194
518	0.00082462	0.154123	2.04524
519	0.000604691	0.0151646	0.537724
520	0.00062879	0.172773	1.0813
521	0.000599012	0.155877	0.907527
522	0.000657067	0.242165	1.20323
523	0.00126684	0.122769	3.71725
524	0.000788297	0.0160744	0.387203
525	0.000736416	0.200849	0.872703
526	0.000762357	0.157887	1.07169
527	0.000877341	0.225826	1.3244
528	0.00182019	0.0961864	4.30426
529	0.00077903	0.0174893	0.183178
530	0.000946851	0.222586	1.47725
531	0.000786588	0.154918	0.690131
532	0.000920639	0.199739	1.36988
533	0.00197386	0.0776045	4.59679
534	0.000811845	0.0236005	0.169166
535	0.000805773	0.164121	0.985097
536	0.000717514	0.166708	0.792932
537	0.00078184	0.192745	1.18734
538	0.00123166	0.0381444	2.48169
539	0.000654541	0.0402534	0.282417
540	0.000742593	0.235099	1.28715
541	0.000651266	0.147269	0.769156
542	0.00109793	0.270349	2.84205
543	0.00113815	0.0206442	1.07461
544	0.000769554	0.0769241	0.457173
545	0.000848318	0.200505	1.21518
546	0.000814155	0.201594	0.921078
547	0.000915067	0.128829	1.26326
548	0.000991385	0.0212096	1.17376
549	0.000752952	0.102928	0.576833
550	0.000608896	0.142621	0.653961
551	0.000692181	0.208239	1.29227
552	0.000823422	0.167592	1.41516
553	0.000899059	0.0214103	1.19215
554	0.000708804	0.0907256	0.621549
555	0.000676284	0.195227	0.910347
556	0.000652561	0.164051	0.931072
557	0.000759571	0.153191	1.35486
558	0.000833608	0.0214874	1.20445
559	0.000613005	0.0958574	0.540759
560	0.000579657	0.1677	0.894159
561	0.000681146	0.211206	1.38082
562	0.000748075	0.15008	1.20617
563	0.000751519	0.0192606	1.00923
564	0.000710314	0.125124	0.893348
565	0.000532653	0.156354	0.562326
566	0.000629002	0.186038	1.39449
567	0.000874134	0.193868	1.93131
568	0.000646644	0.0149894	0.547236
569	0.000654214	0.132119	1.02355
570	0.000573125	0.202295	0.767466
571	0.000562776	0.142287	0.964213
572	0.00101372	0.215715	3.24462
573	0.000661341	0.0144099	0.425615
574	0.000566692	0.111859	0.734248
575	0.00053554	0.206775	0.893078
576	0.000565639	0.16842	1.11557
577	0.000911249	0.167791	2.59535
578	0.000593433	0.014392	0.424101
579	0.000549484	0.139006	0.857369
580	0.000487071	0.168246	0.785731
581	0.000462775	0.155669	0.902726
582	0.000862764	0.188392	3.47571
583	0.00054954	0.0146052	0.405708
584	0.000414951	0.115785	0.570159
585	0.000445988	0.192908	1.15519
586	0.000398518	0.168761	0.798453
587	0.000679764	0.151346	2.90951
588	0.000440025	0.0147932	0.419024
589	0.000376327	0.142123	0.731434
590	0.000337701	0.14979	0.805257
591	0.000376313	0.218722	1.24175
592	0.00060795	0.136554	2.60997
593	0.000380185	0.0145156	0.391071
594	0.000341915	0.152466	0.80881
595	0.000310246	0.171762	0.823333
596	0.000297935	0.169569	0.922213
597	0.0006073	0.16372	4.15493
598	0.000328554	0.0144252	0.292689
599	0.00026797	0.128997	0.665209
600	0.000284582	0.208833	1.12783
601	0.000245999	0.145132	0.747226
602	0.000491652	0.154063	3.99437
603	0.000271728	0.0146303	0.30546
604	0.000224212	0.134816	0.680845
605	0.000211068	0.160184	0.886192
606	0.000234834	0.223098	1.23787
607	0.000396649	0.119538	2.85293
608	0.000222445	0.0144355	0.31451
609	0.000210831	0.176155	0.898303
610	0.000182139	0.14682	0.74634
611	0.000212216	0.206949	1.35754
612	0.000397542	0.138059	3.5092
613	0.000196731	0.0140198	0.244895
614	0.000172742	0.129488	0.770987
615	0.000194621	0.255296	1.26936
616	0.000172284	0.144231	0.783633
617	0.000369023	0.151279	4.58793
618	0.000189501	0.0148734	0.263704
619	0.000162787	0.18074	0.737928
620	0.000193165	0.185271	1.40805
621	0.000147061	0.162161	0.579616
622	0.000341117	0.120987	5.38034
623	0.000177819	0.0180152	0.271739
624	0.000159229	0.14191	0.801842
625	0.000140696	0.203701	0.780762
626	0.000148733	0.174255	1.1175
627	0.000288183	0.120231	3.75425
628	0.000129817	0.014567	0.202922
629	0.000130283	0.159571	1.00718
630	0.000110253	0.160879	0.716153
631	0.000100752	0.159032	0.835077
632	0.000212901	0.202843	4.46529
633	7.63794e-05	0.0123068	0.128706
634	6.4895e-05	0.321835	0.721886
635	9.03489e-05	0.205167	1.93831
636	5.55961e-05	0.12919	0.378654
637	0.000153796	0.145992	7.65244
638	5.44792e-05	0.0186983	0.12548
639	4.34279e-05	0.272812	0.635443
640	4.69189e-05	0.321049	1.16723
641	4.87398e-05	0.164968	1.07913
642	7.29448e-05	0.14543	2.23986
643	5.4707e-05	0.0157749	0.562468
644	3.81365e-05	0.118147	0.485956
645	3.49273e-05	0.154714	0.838776
646	3.60671e-05	0.236849	1.06633
647	4.97581e-05	0.112797	1.90329
648	3.78206e-05	0.0159733	0.577737
649	3.39311e-05	0.181183	0.804894
650	3.17958e-05	0.134782	0.878099
651	3.68649e-05	0.300106	1.34427
652	6.74491e-05	0.104435	3.34754
653	4.17403e-05	0.01643	0.382965
654	3.73823e-05	0.190306	0.802085
655	3.99687e-05	0.173319	1.14316
656	3.9398e-05	0.198411	0.971649
657	8.17693e-05	0.0775507	4.30756
658	3.69571e-05	0.0219852	0.204275
659	4.12806e-05	0.189118	1.24766
660	3.03371e-05	0.142913	0.540075
661	5.37915e-05	0.333433	3.14398
662	6.31522e-05	0.0243596	1.37832
663	3.78821e-05	0.0561101	0.359824
664	4.72372e-05	0.260575	1.5549
665	4.07404e-05	0.140369	0.743842
666	7.10955e-05	0.155308	3.04533
667	4.35093e-05	0.0144369	0.374525
668	3.60079e-05	0.130807	0.684905
669	3.61891e-05	0.227309	1.01009
670	3.62947e-05	0.149667	1.00585
671	8.75605e-05	0.0799813	5.82008
672	4.02062e-05	0.034918	0.210848
673	4.02505e-05	0.152849	1.0022
674	3.83171e-05	0.200651	0.906241
675	4.20376e-05	0.13515	1.20362
676	3.98973e-05	0.0183177	0.900762
677	3.64874e-05	0.123524	0.836375
678	3.16316e-05	0.158209	0.751546
679	3.15095e-05	0.176328	0.992297
680	6.67804e-05	0.160509	4.49174
681	3.61256e-05	0.0147961	0.292638
682	2.96233e-05	0.141317	0.672414
683	3.08278e-05	0.193235	1.08298
684	2.7516e-05	0.147253	0.796683
685	5.30622e-05	0.0606227	3.71878
686	2.59726e-05	0.0269817	0.239586
687	2.69222e-05	0.207	1.07446
688	2.26937e-05	0.166963	0.710543
689	3.3785e-05	0.154681	2.21634
690	3.02094e-05	0.0179525	0.79953
691	2.17248e-05	0.113155	0.517164
692	1.97043e-05	0.14988	0.822638
693	2.1527e-05	0.207595	1.19356
694	3.86249e-05	0.0832355	3.21936
695	1.5834e-05	0.0159672	0.168053
696	2.09605e-05	0.275536	1.75236
697	1.43328e-05	0.130796	0.467584
698	2.0912e-05	0.237172	2.12877
699	2.87626e-05	0.0308192	1.89175
